BAD PLAN
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
8, 2
9, 2
7, 3
10, 3
11, 3
7, 4
8, 4
10, 4
11, 4
14, 4
10, 5
13, 7
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
10, 4
11, 4
14, 4
10, 5
13, 7
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
13, 5
15, 5
14, 8
13, 5
15, 5
14, 8
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
13, 6
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
13, 6
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 7
13, 5
15, 5
14, 8
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
13, 7
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
8, 4
9, 4
10, 4
11, 4
14, 4
9, 5
10, 5
9, 6
10, 6
11, 6
12, 6
8, 2
9, 2
7, 3
8, 3
9, 3
10, 3
11, 3
7, 4
